generic,0.12049639691087824
fnmatch,0.0003592627104721507
decimal,0.0003737383364490547
re,0.01114453962227964
os,0.028947700466951266
random,0.000763079498717832
glob,0.0009298698481792074
urllib2,0.0006643964769574141
scipy,0.23073629054982106
sqlite,0.0003592627104721507
json,0.0004114577648748078
shutil,0.00176672086232217
math,0.0013082266428721227
numpy,0.5987765023850888
logging,0.0003592627104721507
datetime,0.00037894488231171754
tempfile,0.0007109768067527737
time,0.0015133708141289546
